1956967341,empty,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[
1956967666,sadness,Layin n bed with a headache  ughhhh...waitin on your call...
1956967696,sadness,Funeral ceremony...gloomy friday...
1956967789,enthusiasm,wants to hang out with friends SOON!
1956968416,neutral,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will."
1956968477,worry,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
1956968487,sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!"
1956968636,worry,Hmmm. http://www.djhero.com/ is down
1956969035,sadness,@charviray Charlene my love. I miss you
1956969172,sadness,@kelcouch I'm sorry  at least it's Friday?
1956969456,neutral,cant fall asleep
1956969531,worry,Choked on her retainers
1956970047,sadness,Ugh! I have to beat this stupid song to get to the next  rude!
1956970424,sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
1956970860,surprise,Got the news
1956971077,sadness,The storm is here and the electricity is gone
1956971170,love,@annarosekerr agreed
1956971206,sadness,So sleepy again and it's not even that late. I fail once again.
1956971473,worry,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
1956971586,sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
1956971981,worry,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
1956972097,fun,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
1956972116,neutral,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps
1956972270,worry,I ate Something I don't know what it is... Why do I keep Telling things about food
1956972359,sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
1956972444,worry,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
1956972557,sadness,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
1956972884,worry,Damm servers still down  i need to hit 80 before all the koxpers pass me
1956973598,sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
1956973690,worry,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
1956974706,hate,It is so annoying when she starts typing on her computer in the middle of the night!
1956975441,neutral,@cynthia_123 i cant sleep
1956975860,neutral,I missed the bl***y bus!!!!!!!!
1956975876,neutral,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk
1956975927,neutral,SoCal!  stoked. or maybe not.. tomorrow
1956976187,neutral,Screw you @davidbrussee! I only have 3 weeks...
1956976312,sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
1956976371,worry,I need skott right now
1956976557,neutral,has work this afternoon
1956976681,neutral,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry
